pimento,allspice,,,,,,,,,,,,,Herbs de Provence,Herb of Provence
pimiento,allspice,,,,,,,,,,,,,highly respected,highly-respected
pimenton,paprika ,,,,,,,,,,,,,high spirited  ,high-spirited  
pinenut,pine nut,,,,,,,,,,,,,thigh,hindlimb stylopod
pizzle,penis,,,,,,,,,,,,,piper auritum,hoja santa
central bearded dragon,pogona vitticeps,,,,,,,,,,,,,cyclopia ,honeybush
bearded dragon,pogona vitticeps,,,,,,,,,,,,,honey bush,honeybush
anaerobic diges,anaerobic digestion,,,,,,,,,,,,,horse fish,horsefish
poultrydust,poultry dust,,,,,,,,,,,,,horse radish,horseradish
aurochs ,bos primigenius,,,,,,,,,,,,,ice cold,ice-cold
urus,bos primigenius,,,,,,,,,,,,,artificial,imitation
ure,bos primigenius,,,,,,,,,,,,,shell on,in shell
ispaghula,psyllium,,,,,,,,,,,,,geochelone elegans,indian star tortoise
ispaghula husk,psyllium husk,,,,,,,,,,,,,in house,in-house
vacuum packed,vacuum-packed,,,,,,,,,,,,,tindora,ivy gourd
vacuum packaged,vacuum-packed,,,,,,,,,,,,,jalapeno,jalapeno pepper
undevein,undeveined,,,,,,,,,,,,,kitten,juvenile cat
piper auritum,hoja santa,,,,,,,,,,,,,kind hearted ,kind-hearted 
danggit,rabbitfish,,,,,,,,,,,,,king fish,kingfish
spinefoot,rabbitfish,,,,,,,,,,,,,mashoq habbe sauda,klaunji powder
dang git,rabbitfish,,,,,,,,,,,,,chinemys nigricans,kwangtung river turtle
rabbit fish,rabbitfish,,,,,,,,,,,,,largemouth,large mouth
raclette,semihard cheese ,,,,,,,,,,,,,larval,larval stage
ball python,python regius,,,,,,,,,,,,,last minute,last-minute
relleno,chile relleno,,,,,,,,,,,,,leafe,leaf
ribbon fish,ribbonfish,,,,,,,,,,,,,franklin gull,leucophaeus pipixcan
common wallaroo,macropus robustus,,,,,,,,,,,,,whiteleg shrimp ,litopenaeus vannamei
wallaroo,macropus robustus,,,,,,,,,,,,,white shrimp,litopenaeus vannamei
euro wallaroo,macropus robustus,,,,,,,,,,,,,penaeus vannamei,litopenaeus vannamei
hill wallaroo ,macropus robustus,,,,,,,,,,,,,pacific white shrimp,litopenaeus vannamei
cyclopia ,honeybush,,,,,,,,,,,,,king prawn,litopenaeus vannamei
honey bush,honeybush,,,,,,,,,,,,,vannamei,litopenaeus vannamei
rohu carp,rohu,,,,,,,,,,,,,skink,lizard
rui carp,rohu,,,,,,,,,,,,,long lasting,long-lasting
roho labeo ,rohu,,,,,,,,,,,,,lunchmeat,lunch meat
Labeo rohita,rohu,,,,,,,,,,,,,common wallaroo,macropus robustus
ruhi carp,rohu,,,,,,,,,,,,,wallaroo,macropus robustus
scrum,sacral,,,,,,,,,,,,,euro wallaroo,macropus robustus
sadao,neem,,,,,,,,,,,,,hill wallaroo ,macropus robustus
salid fish,salidfish,,,,,,,,,,,,,mahi,mahi mahi 
sanicale,sanicle,,,,,,,,,,,,,mamey,mamey sapote
eastern spadefoot,scaphiopus holbrookii,,,,,,,,,,,,,mandarin,mandarinfish
seabass,sea bass,,,,,,,,,,,,,many sided,many-sided
seabream,sea bream,,,,,,,,,,,,,meat (marinated),"meat (marinated or similar, cold-processed, packaged)"
sheat fish,sheatfish,,,,,,,,,,,,,"meat (similar, cold-processed, packaged)","meat (marinated or similar, cold-processed, packaged)"
shatavari,asparagus racemosus,,,,,,,,,,,,,meat marinated,"meat (marinated or similar, cold-processed, packaged)"
giant trevally,trevally,,,,,,,,,,,,,"meat similar, cold-processed, packaged","meat (marinated or similar, cold-processed, packaged)"
caranx ignobilis,trevally,,,,,,,,,,,,,wild turkey,meleagris gallopavo
silago,sillago,,,,,,,,,,,,,middle aged  ,middle-aged  
shilago,sillago,,,,,,,,,,,,,japanese mustard greens,mizuna
shingleback lizard, tiliqua rugosa,,,,,,,,,,,,,kyona,mizuna
swai fish,swaifish,,,,,,,,,,,,,qian jing shui cai,mizuna
